ing_amount,ingredients,preparation,title,url
"2 oz.,5 oz.","Vodka,Orange Juice"," Fill your highball glass with ice,Pour the vodka and orange juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with an orange wheel",Screwdriver,https://www.makemycocktail.com/cocktails/Screwdriver.php
"2 oz.,1 oz.,1 oz.","Vodka,Almond Liqueur,Cream"," Fill your rocks glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the vodka, amaretto and cream into the cocktail shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass",Goddaughter,https://www.makemycocktail.com/cocktails/Goddaughter.php
"1.5 oz.,1.5 oz.","Vodka,Almond Liqueur"," Chill your coupe glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the vodka and amaretto to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled coupe glass,Lastly, garnish your cocktail with a cherry",The Godmother,https://www.makemycocktail.com/cocktails/Godmother.php
"1.5 oz.,0.5 oz.,1 oz.,0.5 oz.,1 whole","Melon Liqueur,Orange Liqueur,Lemon Juice,Simple Syrup,Egg White*"," Fill your rocks glass with ice,Add the Midori, Cointreau, lemon juice, simple syrup and egg white to the shaker,Shake your cocktail without ice for 20-25 seconds,Fill a shaker 2/3 full with cracked ice,Shake your cocktail for 20-25 seconds,Strain the shaker contents into the rocks glass,Note: Feel free to exclude the egg white by simply shaking the other ingredients with ice for 10-15 seconds and straining into a rocks glass,Lastly, garnish your cocktail with a lemon wheel",Melon Sour,https://www.makemycocktail.com/cocktails/MelonSour.php
"1.5 oz.,5 oz.,0.5 oz.","Tequila,Orange Juice,Grenadine"," Fill your highball glass with ice,Pour the tequila and orange juice directly into the glass,Gently stir with a straw,Slowly pour the grenadine on the back of a barspoon pressed against the inside of the glass,Lastly, garnish your cocktail with an orange wheel",Tequila Sunrise,https://www.makemycocktail.com/cocktails/TequilaSunrise.php
"2.5 oz.,0.5 oz.","Tequila,Dry Vermouth"," Chill your martini glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the tequila and dry vermouth to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled martini glass,Lastly, garnish your cocktail with two olives",Tequini,https://www.makemycocktail.com/cocktails/Tequini.php
"2 oz.,0.75 oz.,0.75 oz.,3 oz.","Gin,Lemon Juice,Simple Syrup,Soda Water"," Fill your collins glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the gin, lemon juice and simple syrup into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the collins glass,Top off the glass with soda water,Gently stir with a straw,Lastly, garnish your cocktail with a cherry and a lemon wedge",Tom Collins,https://www.makemycocktail.com/cocktails/TomCollins.php
"1 oz.,1 oz.,1 oz.,2 oz.,2 oz.,2 cup","Rum,Coffee Liqueur,Chocolate Liqueur,Cream of Coconut,Cream,Ice*"," Chill your hurricane glass before preparing the cocktail,Add the ingredients and two cups of ice to the blender,Blend ingredients until the contents are smoothly blended,Pour the blender contents into the chilled hurricane glass,Lastly, garnish your cocktail with whipped cream and a cherry",Bushwacker,https://www.makemycocktail.com/cocktails/Bushwacker.php
"2 oz.,4 oz.,1 oz.,2 cup","Vodka,Pineapple Juice,Cream of Coconut,Ice*"," Chill your hurricane glass before preparing the cocktail,Add the vodka, pineapple juice, cream of coconut and two cups of ice to the blender,Blend ingredients until the contents are smoothly blended,Pour the blender contents into the chilled hurricane glass,Lastly, garnish your cocktail with a pineapple wedge and a cherry",Chi Chi,https://www.makemycocktail.com/cocktails/ChiChi.php
"1.5 oz.,1.5 oz.,1.5 oz.,3 oz.","Southern Comfort,Sloe Berry Liqueur,Almond Liqueur,Orange Juice"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the Southern Comfort, sloe berry liqueur, amaretto and orange juice into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with an orange wheel",Alabama Slammer,https://www.makemycocktail.com/cocktails/AlabamaSlammer.php
"1.5 oz.,3 oz.,1.5 oz.","Almond Liqueur,Orange Juice,Cream"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the amaretto, orange juice and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass",Creamsicle,https://www.makemycocktail.com/cocktails/Creamsicle.php
"1 oz.,1 oz.,1 oz.","Almond Liqueur,Chocolate Liqueur,Cream"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the creme de noyaux, white creme de cacao and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with grated nutmeg",Pink Squirrel,https://www.makemycocktail.com/cocktails/PinkSquirrel.php
"2 oz.,0.5 oz.,0.5 oz.,0.25 oz.","Tequila,Mint Liqueur,Lime Juice,Simple Syrup"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the reposado tequila, green creme de menthe, lime juice and simple syrup to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with a mint leaf",Tequila Mockingbird,https://www.makemycocktail.com/cocktails/TequilaMockingbird.php
"1.5 oz.,1.5 oz.,1 oz.,0.25 oz.,2.5 oz.","Vodka,Raspberry Liqueur,Orange Liqueur,Lime Juice,Soda Water"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the vodka, raspberry liqueur,  orange liqueur and lime juice into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Top off the glass with soda water,Lastly, garnish your cocktail with a lime wedge",Purple Haze,https://www.makemycocktail.com/cocktails/PurpleHaze.php
"2 oz.,5 oz.","Rum,Pineapple Juice"," Fill your highball glass with ice,Pour the rum and pineapple juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with a cherry",Rum & Pineapple Juice,https://www.makemycocktail.com/cocktails/RumPJ.php
"2 oz.,5 oz.","Gin,Tonic Water"," Fill your highball glass with ice,Pour the gin directly into the glass,Top off the glass with tonic water,Lastly, garnish your cocktail with a lime wedge",Gin and Tonic,https://www.makemycocktail.com/cocktails/GinTonic.php
"0.75 oz.,0.25 oz.,5 oz.","Vodka,Orange Liqueur,Champagne","Firstly, prepare your glass by adding a sugared rim, Chill your champagne flute before preparing the cocktail,Pour the vodka, blue curacao and champagne directly into the champagne flute,Lastly, garnish your cocktail with a lemon twist",MidnightKiss,https://www.makemycocktail.com/cocktails/MidnightKiss.php
"2 oz.,5 oz.","Whiskey,Cola"," Fill your highball glass with ice,Pour the whiskey directly into the glass,Top off the glass with cola,Lastly, garnish your cocktail with a lime wedge",Whiskey & Cola,https://www.makemycocktail.com/cocktails/WhiskeyCola.php
"1.5 oz.,3.5 oz.,1 splash,1 dash,1 dash,1 shake,1 shake","Vodka,Tomato Juice*,Lemon Juice,Worcestershire Sauce*,Tabasco Sauce*,Salt*,Pepper*"," Fill your highball glass with ice,Fill a shaker 2/3 full with cracked ice,Add the ingredients to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with a celery stick",Bloody Mary,https://www.makemycocktail.com/cocktails/BloodyMary.php
"1.5 oz.,0.5 oz.,0.5 oz.,0.5 oz.,2 oz.,1 oz.,2 dash,1 oz.","Gin,Cherry Liqueur,Orange Liqueur,Herbal Liqueur,Pineapple Juice,Lime Juice,Bitters,Soda Water"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients (excluding soda water) into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Top off the glass with soda water,Gently stir with a straw,Lastly, garnish your cocktail with a cherry",Singapore Sling,https://www.makemycocktail.com/cocktails/SingaporeSling.php
"1 oz.,1 oz.,1 oz.,1 oz.","Almond Liqueur,Coffee Liqueur,irish Cream,Cream"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the amaretto, coffee liqueur, irish cream and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass",Orgasm,https://www.makemycocktail.com/cocktails/Orgasm.php
"1 oz.,1 oz.,1 oz.","Vodka,Orange Liqueur,Lime Juice"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the vodka, orange liqueur and lime juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with a lime twist",Kamikaze,https://www.makemycocktail.com/cocktails/Kamikaze.php
"0.5 oz.,0.5 oz.,0.5 oz.,1 dash,3 oz.","Melon Liqueur,Orange Liqueur,Lime Juice,Bitters,Champagne"," Chill your champagne flute before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the melon liqueur, blue curacao, lime juice and bitters to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the champagne flute,Top off the flute with champagne,Lastly, garnish your cocktail with a lime twist",Jade,https://www.makemycocktail.com/cocktails/Jade.php
"2 oz.,4 oz.","Melon Liqueur,Champagne"," Chill your champagne flute before preparing the cocktail,Pour the champagne and melon liqueur directly into the champagne flute,Lastly, garnish your cocktail with a lime wedge",Melon Mimosa,https://www.makemycocktail.com/cocktails/MelonMimosa.php
"1.5 oz.,0.5 oz.,4 oz.,1 oz.","Vodka,Almond Liqueur,Orange Juice,Soda Water"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the vodka, amaretto and orange juice into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Top off the glass with soda water,Gently stir with a straw,Lastly, garnish your cocktail with an orange wheel",Bocce Ball,https://www.makemycocktail.com/cocktails/BocceBall.php
"1 oz.,0.5 oz.,2 oz.","Cherry Liqueur,Chocolate Liqueur,Cream"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the Cherry Brandy, Creme De Cacoa and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with a cherry",Dusty Rose,https://www.makemycocktail.com/cocktails/DustyRose.php
"1 oz.,2 oz.,2 oz.","Coconut Liqueur,Cranberry Juice,Pineapple Juice"," Fill your hurricane glass with ice,Pour the coconut liqueur, cranberry juice and pineapple juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with a lime wheel and a cherry",Tropical Bay Breeze,https://www.makemycocktail.com/cocktails/TropicalBayBreeze.php
"3 oz.,3 oz.","Champagne,Orange Juice"," Chill your champagne flute before preparing the cocktail,Pour the champagne and orange juice directly into the champagne flute,Lastly, garnish your cocktail with an orange wedge",Mimosa,https://www.makemycocktail.com/cocktails/Mimosa.php
"2 oz.,0.75 oz.,0.75 oz.","Gin,Lime Juice,Simple Syrup"," Chill your coupe glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the gin, lime juice and simple syrup to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled coupe glass,Lastly, garnish your cocktail with a lime wedge",Gimlet,https://www.makemycocktail.com/cocktails/Gimlet.php
"1 oz.,1 oz.,1 oz.","Vodka,Coffee Liqueur,Irish Cream"," Fill your rocks glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the vodka, coffee liqueur and irish cream into the cocktail shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with chocolate shavings",Mudslide,https://www.makemycocktail.com/cocktails/Mudslide.php
"2 oz.,2 oz.,2 oz.","Vodka,Coffee Liqueur,Soda Water"," Fill your rocks glass with ice,Pour the vodka and coffee liqueur directly into the glass,Top off the glass with soda water",Mind Eraser,https://www.makemycocktail.com/cocktails/MindEraser.php
"2 oz.,2 oz.","Almond Liqueur,Cream"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the amaretto and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass,Note: For a different look, skip shaking the cocktail and instead float the cream on top of the amaertto by pouring slowly on the back of a barsoon",Italian Sombrero,https://www.makemycocktail.com/cocktails/ItalianSombrero.php
"1 oz.,1 oz.,4.5 oz.","Vodka,Peach Schnapps,Orange Juice"," Fill your highball glass with ice,Pour the vodka, peach schnapps and orange juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with an orange wheel",Fuzzy Navel,https://www.makemycocktail.com/cocktails/FuzzyNavel.php
"2 oz.,1 oz.,1 oz.","Whiskey,Almond Liqueur,Cream"," Fill your rocks glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the scotch, amaretto and cream into the cocktail shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass",Godson,https://www.makemycocktail.com/cocktails/Godson.php
"1 oz.,3 oz.,1 oz.","Vodka,Cranberry Juice,Grapefruit Juice"," Fill your hurricane glass with ice,Pour the vodka, cranberry juice and grapefruit juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with a lime wheel",Sea Breeze,https://www.makemycocktail.com/cocktails/SeaBreeze.php
"2 oz.,1 oz.,3 oz.,1 oz.,0.25 oz.","Rum,Coconut Liqueur,Pineapple Juice,Grapefruit Juice,Grenadine"," Fill your hurricane glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the hurricane glass,Lastly, garnish your cocktail with a pineapple wedge and a cherry",Guana Grabber,https://www.makemycocktail.com/cocktails/GuanaGrabber.php
"1 oz.,1 oz.,1 oz.","Vodka,Mint Liqueur,Chocolate Liqueur"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the vodka, green creme de menthe and white creme de cacao to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with a mint leaf",Vodka Grasshopper,https://www.makemycocktail.com/cocktails/VodkaGrasshopper.php
"2 oz.,0.75 oz.,0.75 oz.,3 oz.","Whiskey,Lemon Juice,Simple Syrup,Soda Water"," Fill your collins glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the bourbon, lemon juice and simple syrup into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the collins glass,Top off the glass with soda water,Gently stir with a straw,Lastly, garnish your cocktail with a cherry and a lemon wedge",John Collins,https://www.makemycocktail.com/cocktails/JohnCollins.php
"1.5 oz.,0.5 oz.,0.25 oz.,0.75 oz.,3 dash","Brandy,Orange Liqueur,Cherry Liqueur,Lemon Juice,Bitters","Firstly, prepare your glass by adding a sugared rim, Chill your coupe glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the cognac, curacao, maraschino liqueur, lemon juice and bitters to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled coupe glass,Lastly, garnish your cocktail with an orange twist",Brandy Crusta,https://www.makemycocktail.com/cocktails/BrandyCrusta.php
"2 oz.,0.5 oz.,0.5 oz.,0.25 oz.","Whiskey,Lemon Juice,Orange Juice,Grenadine"," Chill your coupe glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the whiskey, lemon juice, orange juice and grenadine to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled coupe glass,Lastly, garnish your cocktail with an orange peel and cherries",Ward Eight,https://www.makemycocktail.com/cocktails/WardEight.php
"2 oz.,0.5 oz.,0.5 oz.,0.75 oz.","Rum,Orange Liqueur,Almond Syrup*,Lime Juice"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the rum, orange liqueur, almond syrup and lime juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with an orange slice and a cherry",Mai Tai,https://www.makemycocktail.com/cocktails/MaiTai.php
"1.5 oz.,1.5 oz.,0.5 oz.","Whiskey,Coffee Liqueur,Soda Water"," Fill your rocks glass with ice,Fill a mixing glass 2/3 full with cracked ice,Add the scotch and coffee liqueur to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the rocks glass,Top off the glass with soda water,Lastly, garnish your cocktail with a lemon twist",Black Watch,https://www.makemycocktail.com/cocktails/BlackWatch.php
"1.5 oz.,0.5 oz.,0.75 oz.,0.75 oz.,1 whole","Almond Liqueur,Whiskey,Lemon Juice,Simple Syrup,Egg White*"," Fill your rocks glass with ice,Add the amaretto, bourbon, lemon juice, simple syrup and egg white to the shaker,Shake your cocktail without ice for 20-25 seconds,Fill a shaker 2/3 full with cracked ice,Shake your cocktail for 20-25 seconds,Strain the shaker contents into the rocks glass,Note: Feel free to exclude the egg white by simply shaking the other ingredients with ice for 10-15 seconds and straining into a rocks glass,Lastly, garnish your cocktail with an orange slice and a cherry",Amaretto Sour,https://www.makemycocktail.com/cocktails/AmarettoSour.php
"2 oz.,1 oz.","Tequila,Mint Liqueur"," Fill your rocks glass with ice,Fill a mixing glass 2/3 full with cracked ice,Add the tequila and white creme de menthe to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the rocks glass,Lastly, garnish your cocktail with a mint leaf",Mexican Stinger,https://www.makemycocktail.com/cocktails/MexicanStinger.php
"2 oz.,0.25 oz.,2 dash","Rum,Simple Syrup,Bitters"," Fill your rocks glass with large ice,Fill a mixing glass 2/3 full with cracked ice,Add the rum, simple syrup and bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the rocks glass,Lastly, garnish your cocktail with an orange twist",Rum Old Fashioned,https://www.makemycocktail.com/cocktails/RumOldFashioned.php
"1.5 oz.,1 oz.,1 oz.,3 oz.","Vodka,Sloe Berry Liqueur,Southern Comfort,Orange Juice"," Fill your highball glass with ice,Pour the vodka, sloe berry liqueur, Southern Comfort and orange juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with an orange slice",Sloe Comfortable Screw,https://www.makemycocktail.com/cocktails/SloeComfortableScrew.php
"2 oz.,0.25 oz.,1.25 oz.,0.5 oz.","Rum,Herbal Liqueur,Orange Juice,Lime Juice"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the rum, Galliano, orange juice and lime juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the rocks glass,Lastly, garnish your cocktail with an orange wedge and a cherry",Yellow Bird,https://www.makemycocktail.com/cocktails/YellowBird.php
"1.5 oz.,3.5 oz.,1 splash,1 dash,1 dash,1 shake,1 shake","Tequila,Tomato Juice*,Lemon Juice,Worcestershire Sauce*,Tabasco Sauce*,Salt*,Pepper*"," Fill your highball glass with ice,Fill a shaker 2/3 full with cracked ice,Add the ingredients to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with a celery stick",Bloody Maria,https://www.makemycocktail.com/cocktails/BloodyMaria.php
"2 oz.,0.5 oz.,0.5 oz.","Whiskey,Lemon Juice,Almond Syrup*"," Chill your coupe glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the irish whiskey, scotch, almond syrup and lemon juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled coupe glass,Lastly, garnish your cocktail with a lemon peel",Cameron's Kick,https://www.makemycocktail.com/cocktails/CameronsKick.php
"1.5 oz.,1 oz.,0.5 oz.","Gin,Orange Liqueur,Pineapple Juice"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the gin, blue curacao and pineapple juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with a cherry",Envy,https://www.makemycocktail.com/cocktails/Envy.php
"1.5 oz.,1.5 oz.","Vodka,Chocolate Liqueur"," Chill your martini glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the vodka and chocolate liqueur to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled martini glass,Lastly, garnish your cocktail with chocolate shavings",Chocolate Martini,https://www.makemycocktail.com/cocktails/ChocolateMartini.php
"1.5 oz.,4 oz.,1 oz.","Vodka,Orange Juice,Herbal Liqueur"," Fill your highball glass with ice,Pour the vodka and orange juice directly into the glass,Gently stir with a straw,Slowly pour herbal liqueur over the back of a barspoon to float the liqueur on top of the cocktail,Lastly, garnish your cocktail with an orange wheel",Harvey Wallbanger,https://www.makemycocktail.com/cocktails/HarveyWallbanger.php
"2 oz.,0.5 oz.,0.5 oz.,2 oz.,1 oz.","Melon Liqueur,Vodka,Orange Liqueur,Pineapple Juice,Lemon Juice"," Fill your highball glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the ingredients into the cocktail shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the highball glass,Lastly, garnish your cocktail with a pineapple wedge and a cherry",Illusion,https://www.makemycocktail.com/cocktails/Illusion.php
"2 oz.,1 oz.,4 oz.,2 oz.,2 cup","Melon Liqueur,Coconut Liqueur,Pineapple Juice,Cream of Coconut,Ice*"," Chill your hurricane glass before preparing the cocktail,Add the melon liqueur, coconut rum, pineapple juice, cream of coconut and two cups of ice to the blender,Blend ingredients until the contents are smoothly blended,Pour the blender contents into the chilled hurricane glass,Lastly, garnish your cocktail with a pineapple wedge and a cherry",Melon Colada,https://www.makemycocktail.com/cocktails/MelonColada.php
"2 oz.,5 oz.","Rum,Lemon-Lime Soda"," Fill your highball glass with ice,Pour the rum directly into the glass,Top off the glass with lemon-lime soda,Lastly, garnish your cocktail with a lemon twist",Rum Cooler,https://www.makemycocktail.com/cocktails/RumCooler.php
"2 oz.,2 oz.","Coffee Liqueur,Cream"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the coffee liqueur and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass,Note: For a different look, skip shaking the cocktail and instead float the cream on top of the coffee liqueur by pouring slowly on the back of a barspoon",Sombrero,https://www.makemycocktail.com/cocktails/Sombrero.php
"1 oz.,1 oz.,1 oz.","Brandy,Orange Liqueur,Orange Juice"," Chill your coupe glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the Cognac, curacao and orange juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled coupe glass,Lastly, garnish your cocktail with an orange peel",Olympic,https://www.makemycocktail.com/cocktails/Olympic.php
"1 oz.,1 oz.,1 oz.,2 oz.","Vodka,Coffee Liqueur,Almond Liqueur,Cream"," Fill your rocks glass with ice,Fill a shaker 2/3 full with cracked ice,Add the vodka, amaretto, coffee liqueur and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass",Roasted Toasted Almond,https://www.makemycocktail.com/cocktails/RoastedToastedAlmond.php
"2 oz.,1 oz.,1.5 oz.","Melon Liqueur,Vodka,Orange Juice"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the melon liqueur, vodka and orange juice to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with two melon balls",Melonball,https://www.makemycocktail.com/cocktails/Melonball.php
"2 oz.,5 oz.","Vodka,Soda Water"," Fill your highball glass with ice,Pour the vodka directly into the glass,Top off the glass with soda water,Lastly, garnish your cocktail with a lime wedge",Vodka & Soda,https://www.makemycocktail.com/cocktails/VodkaSoda.php
"2 oz.,0.25 oz.,2 dash","Tequila,Simple Syrup,Bitters"," Fill your rocks glass with large ice,Fill a mixing glass 2/3 full with cracked ice,Add the tequila, simple syrup and bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the rocks glass,Lastly, garnish your cocktail with an orange twist",Tequila Old Fashioned,https://www.makemycocktail.com/cocktails/TequilaOldFashioned.php
"2 oz.,1 oz.,1 oz.","Vodka,Coffee Liqueur,Cream"," Fill your rocks glass with ice,Fill your cocktail shaker 2/3 full with cracked ice,Pour the vodka, coffee liqueur and cream into the cocktail shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the rocks glass,Note: For a different look, try shaking without cream and floating it on top by pouring slowly on the back of a barsoon",White Russian,https://www.makemycocktail.com/cocktails/WhiteRussian.php
"1.5 oz.,1.5 oz.","Whiskey,Almond Liqueur"," Chill your coupe glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the scotch and amaretto to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled coupe glass,Lastly, garnish your cocktail with a cherry",The Godfather,https://www.makemycocktail.com/cocktails/Godfather.php
"1 oz.,1 oz.,1 oz.","Gin,Chocolate Liqueur,Cream"," Chill your martini glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the gin, white creme de cacao and cream to the shaker,Shake your cocktail for 25-30 seconds,Strain the shaker contents into the chilled martini glass,Lastly, garnish your cocktail with grated nutmeg",Alexander,https://www.makemycocktail.com/cocktails/Alexander.php
"1.5 oz.,5 oz.,0.5 oz.","Vodka,Orange Juice,Grenadine"," Fill your highball glass with ice,Pour the vodka and orange juice directly into the glass,Gently stir with a straw,Slowly pour the grenadine on the back of a barspoon pressed against the inside of the glass,Lastly, garnish your cocktail with an orange wheel",Vodka Sunrise,https://www.makemycocktail.com/cocktails/VodkaSunrise.php
"2 oz.,1 oz.,4 oz.","Gin,Orange Juice,Ginger Ale"," Fill your highball glass with ice,Pour the gin and orange juice directly into the glass,Top off the glass with ginger ale,Lastly, garnish your cocktail with an orange slice",Bulldog Highball,https://www.makemycocktail.com/cocktails/BulldogHighball.php
"2 oz.,0.75 oz.,0.75 oz.","Vodka,Lime Juice,Simple Syrup"," Chill your coupe glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the vodka, lime juice and simple syrup to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled coupe glass,Lastly, garnish your cocktail with a lime wedge",Vodka Gimlet,https://www.makemycocktail.com/cocktails/VodkaGimlet.php
"1.5 oz.,1 oz.,3 dash","Brandy,Sweet Vermouth,Bitters"," Chill your coupe glass before preparing the cocktail,Fill a mixing glass 2/3 full with cracked ice,Add the brandy, sweet vermouth and bitters to the mixing glass,Stir your cocktail for 30-45 seconds,Strain the mixing glass contents into the chilled coupe glass,Lastly, garnish your cocktail with an orange twist",Harvard,https://www.makemycocktail.com/cocktails/Harvard.php
"1.5 oz.,0.5 oz.,5 oz.","Vodka,Grenadine,Lemon-Lime Soda"," Fill your highball glass with ice,Pour the vodka and lemon-lime soda directly into the glass,Gently pour the grenadine on top to finish the cocktail,Lastly, garnish your cocktail with a cherry",Dirty Shirley,https://www.makemycocktail.com/cocktails/DirtyShirley.php
"2 oz.,5 oz.","Vodka,Tonic Water"," Fill your highball glass with ice,Pour the vodka directly into the glass,Top off the glass with tonic water,Lastly, garnish your cocktail with a lime wedge",Vodka & Tonic,https://www.makemycocktail.com/cocktails/VodkaTonic.php
"1.5 oz.,1 oz.,3 oz.,1.5 oz.","Vodka,Peach Schnapps,Cranberry Juice,Orange Juice"," Fill your highball glass with ice,Pour the vodka, peach schnapps, orange juice and cranberry juice directly into the glass,Gently stir with a straw,Lastly, garnish your cocktail with an orange wheel and a cherry",Sex On The Beach,https://www.makemycocktail.com/cocktails/SexOnBeach.php
"2 oz.,1 oz.,0.75 oz.","Rum,Lime Juice,Simple Syrup"," Chill your coupe glass before preparing the cocktail,Fill a shaker 2/3 full with cracked ice,Add the rum, lime juice and simple syrup to the shaker,Shake your cocktail for 10-15 seconds,Strain the shaker contents into the chilled coupe glass,Lastly, garnish your cocktail with a lime twist",Daiquiri,https://www.makemycocktail.com/cocktails/Daiquiri.php
